FileName;NumberLayres;NumberNeurons;ActivationFunctions;TrainingFunction;Epochs;Division;TrainRatio;ValRatio;TestRatio;Accuracy;TestAccuracy
model_920_93_70.mat;2;[375 250];tansig tansig softmax;trainscg;5000;dividerand;0.7;0.15;0.15;93.7142857142857;70.4761904761905
model_920_90_57.mat;2;[375 250];tansig tansig softmax;trainscg;5000;dividerand;0.7;0.15;0.15;90.4285714285714;57.1428571428571
model_920_94_68.mat;2;[375 250];tansig tansig softmax;trainscg;5000;dividerand;0.7;0.15;0.15;94;68.5714285714286
model_920_93_69.mat;2;[375 250];tansig tansig softmax;trainscg;5000;dividerand;0.7;0.15;0.15;93.7142857142857;69.5238095238095
model_920_93_70.mat;2;[375 250];tansig tansig softmax;trainscg;5000;dividerand;0.7;0.15;0.15;93.8571428571429;70.4761904761905
model_920_95_68.mat;2;[375 250];tansig tansig softmax;trainscg;5000;dividerand;0.7;0.15;0.15;95;68.5714285714286
model_920_92_50.mat;2;[375 250];tansig tansig softmax;trainscg;5000;dividerand;0.7;0.15;0.15;92.1428571428571;50.4761904761905
model_920_94_69.mat;2;[375 250];tansig tansig softmax;trainscg;5000;dividerand;0.7;0.15;0.15;94;69.5238095238095
model_920_74_19.mat;2;[375 250];tansig tansig softmax;trainscg;5000;dividerand;0.7;0.15;0.15;74.4285714285714;19.047619047619
model_920_93_66.mat;2;[375 250];tansig tansig softmax;trainscg;5000;dividerand;0.7;0.15;0.15;93.2857142857143;66.6666666666667
Média de ID: 920;2;[375 250];tansig tansig softmax;trainscg;5000;dividerand;0.7;0.15;0.15;91.4571428571429;61.0476190476191
