FileName;NumberLayers;NumberNeurons;ActivationFunctions;TrainingFunction;Epochs;Division;TrainRatio;ValRatio;TestRatio;Accuracy;TestAccuracy;Learning Functions;Learning Rate
model_810_27_30.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;27;30;learngdm;0.05
model_810_31_23.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;31;23.3333333333333;learngdm;0.05
model_810_25_20.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;25.5;20;learngdm;0.05
model_810_27_6.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;27;6.66666666666667;learngdm;0.05
model_810_28_26.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;29;26.6666666666667;learngdm;0.05
model_810_23_46.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;23.5;46.6666666666667;learngdm;0.05
model_810_22_13.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;22;13.3333333333333;learngdm;0.05
model_810_20_20.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;20.5;20;learngdm;0.05
model_810_20_26.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;20.5;26.6666666666667;learngdm;0.05
model_810_23_36.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;23.5;36.6666666666667;learngdm;0.05
model_810_25_20.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;25.5;20;learngdm;0.05
model_810_19_23.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;19.5;23.3333333333333;learngdm;0.05
model_810_23_20.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;23.5;20;learngdm;0.05
model_810_26_20.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;26.5;20;learngdm;0.05
model_810_20_10.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;20.5;10;learngdm;0.05
model_810_34_23.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;34;23.3333333333333;learngdm;0.05
model_810_25_40.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;25.5;40;learngdm;0.05
model_810_26_16.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;26.5;16.6666666666667;learngdm;0.05
model_810_26_43.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;26.5;43.3333333333333;learngdm;0.05
model_810_12_3.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;12;3.33333333333333;learngdm;0.05
model_810_34_23.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;34;23.3333333333333;learngdm;0.05
model_810_13_33.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;13.5;33.3333333333333;learngdm;0.05
model_810_12_13.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;12;13.3333333333333;learngdm;0.05
model_810_24_26.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;24;26.6666666666667;learngdm;0.05
model_810_24_16.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;24;16.6666666666667;learngdm;0.05
model_810_27_33.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;27;33.3333333333333;learngdm;0.05
model_810_20_16.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;20;16.6666666666667;learngdm;0.05
model_810_31_26.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;31.5;26.6666666666667;learngdm;0.05
model_810_31_26.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;31;26.6666666666667;learngdm;0.05
model_810_24_30.mat;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;24.5;30;learngdm;0.05
Média de ID: 810;1;400;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;24.3666666666667;23.8888888888889;learngdm;0.05
